,V
149,-11.924848484848487
150,-10.424545454545456
151,-9.869696969696971
152,-9.651212121212124
153,-9.650303030303032
154,-9.841515151515152
155,-9.716666666666665
156,-9.353939393939394
157,-9.478484848484849
158,-9.688787878787878
159,-10.09909090909091
160,-10.33878787878788
161,-10.816666666666668
162,-11.217575757575755
163,-11.705151515151513
164,-12.17393939393939
165,-12.660606060606057
166,-13.14818181818182
167,-13.750606060606064
168,-14.32363636363637
169,-14.802121212121216
170,-15.356666666666667
171,-15.986969696969698
172,-16.62727272727273
173,-17.192424242424238
174,-17.736060606060608
175,-18.366969696969697
176,-18.987878787878792
177,-19.647272727272732
178,-20.33545454545454
179,-20.938181818181814
180,-21.58848484848485
181,-22.295757575757573
182,-22.945454545454538
183,-23.5469696969697
184,-24.330909090909092
185,-24.9430303030303
186,-25.54484848484849
187,-26.309696969696965
188,-27.054848484848485
189,-27.666363636363634
190,-28.38454545454545
191,-29.004848484848488
192,-29.76
193,-30.38060606060606
194,-31.021818181818194
195,-31.709090909090904
196,-32.37878787878788
197,-33.171818181818175
198,-33.77393939393939
199,-34.40484848484847
200,-35.11121212121211
201,-35.72333333333332
202,-36.40272727272726
203,-37.04272727272728
204,-37.798484848484854
205,-38.40969696969697
206,-38.95454545454546
207,-39.671515151515145
208,-40.28242424242424
209,-40.98969696969697
210,-41.563939393939386
211,-42.18545454545454
212,-42.84424242424242
213,-43.38939393939393
214,-43.98242424242424
215,-44.58424242424243
216,-45.17666666666666
217,-45.71242424242424
218,-46.32333333333336
219,-46.82969696969696
220,-47.36454545454545
221,-47.892121212121204
222,-48.44515151515151
223,-48.837575757575756
224,-49.420909090909085
225,-49.78303030303031
226,-50.32878787878788
227,-50.79636363636365
228,-51.2739393939394
229,-51.67545454545455
230,-52.04909090909092
231,-52.45060606060607
232,-52.87090909090909
233,-53.253636363636375
234,-53.663636363636364
235,-53.98878787878789
236,-54.352424242424235
237,-54.63909090909091
238,-55.03090909090909
239,-55.270303030303026
240,-55.59454545454545
241,-55.85272727272728
242,-56.120303030303035
243,-56.416969696969694
244,-56.626666666666665
245,-56.80939393939394
246,-57.20060606060606
247,-57.429999999999986
248,-57.5630303030303
249,-57.79303030303031
250,-57.95575757575756
251,-58.137575757575746
252,-58.31878787878788
253,-58.53848484848485
254,-58.54848484848484
255,-58.758484848484834
256,-58.920909090909085
257,-58.99757575757575
258,-59.25575757575756
259,-59.29363636363636
260,-59.370000000000005
261,-59.456060606060596
262,-59.54272727272726
263,-59.68575757575756
264,-59.780909090909105
265,-59.781212121212114
266,-59.90575757575756
267,-60.01121212121211
268,-60.096969696969694
269,-60.10606060606061
270,-60.15454545454545
271,-60.21181818181816
272,-60.19151515151515
273,-60.26909090909088
274,-60.25818181818181
275,-60.26939393939392
276,-60.34515151515152
277,-60.402727272727255
278,-60.39272727272726
279,-60.40242424242422
280,-60.38424242424241
281,-60.34545454545453
282,-60.35484848484848
283,-60.327575757575744
284,-60.34545454545453
285,-60.36545454545453
286,-60.336060606060585
287,-60.33757575757574
288,-60.26848484848484
289,-60.27909090909089
290,-60.25060606060605
291,-60.18333333333332
292,-60.20303030303029
293,-60.07848484848485
294,-60.040606060606045
295,-60.039999999999985
296,-59.848787878787874
297,-59.753636363636346
298,-59.762424242424224
299,-59.705151515151506
300,-59.68575757575757
301,-59.64757575757574
302,-59.581818181818164
303,-59.54272727272727
304,-59.50484848484848
305,-59.40909090909089
306,-59.36090909090909
307,-59.36121212121212
308,-59.22666666666665
309,-59.20787878787878
310,-59.15060606060604
311,-59.11212121212121
312,-59.06454545454546
313,-59.01696969696968
314,-58.94060606060605
315,-58.94
316,-58.768181818181816
317,-58.74848484848484
318,-58.72939393939392
319,-58.61484848484849
320,-58.56727272727274
321,-58.52909090909091
322,-58.45151515151515
323,-58.4339393939394
324,-58.35636363636363
325,-58.27999999999999
326,-58.203333333333326
327,-58.17454545454544
328,-58.10787878787878
329,-58.07030303030302
330,-57.92636363636363
331,-57.81181818181819
332,-57.84969696969698
333,-57.75424242424243
334,-57.754848484848495
335,-57.71575757575758
336,-57.67757575757577
337,-57.5348484848485
338,-57.514545454545456
339,-57.42848484848485
340,-57.35303030303031
341,-57.34333333333334
342,-57.257272727272735
343,-57.10484848484849
344,-57.123939393939395
345,-57.123636363636365
346,-56.99969696969697
347,-56.981212121212124
348,-56.9230303030303
349,-56.81818181818183
350,-56.85636363636363
351,-56.78969696969697
352,-56.627575757575755
353,-56.674545454545445
354,-56.569393939393954
355,-56.49424242424242
356,-56.398787878787886
357,-56.34060606060606
358,-56.44575757575758
359,-56.27363636363638
360,-56.235454545454544
361,-56.17818181818182
362,-56.091818181818205
363,-55.9869696969697
364,-55.99666666666668
365,-56.06333333333334
366,-55.958484848484865
367,-55.872121212121215
368,-55.83424242424244
369,-55.7957575757576
370,-55.73939393939394
371,-55.691515151515155
372,-55.67181818181819
373,-55.594848484848484
374,-55.47060606060607
375,-55.50939393939394
376,-55.44272727272728
377,-55.346363636363655
378,-55.366060606060614
379,-55.33727272727273
380,-55.260000000000005
381,-55.20272727272728
382,-55.16363636363636
383,-55.068787878787894
384,-55.06969696969697
385,-55.07787878787881
386,-54.97181818181818
387,-55.01121212121213
388,-54.85727272727274
389,-54.85757575757578
390,-54.85757575757577
391,-54.79181818181818
392,-54.71393939393941
393,-54.78121212121212
394,-54.67606060606061
395,-54.58030303030305
396,-54.648181818181826
397,-54.63727272727273
398,-54.5621212121212
399,-54.504242424242406
400,-54.49515151515153
401,-54.48515151515152
402,-54.44696969696969
403,-54.3139393939394
404,-54.43727272727272
405,-54.30272727272727
406,-54.33242424242425
407,-54.32242424242424
408,-54.16969696969696
409,-54.16939393939393
410,-54.141515151515144
411,-54.04484848484848
412,-53.6530303030303
413,-52.78363636363636
414,-51.79000000000001
415,-51.540909090909075
416,-51.264848484848486
417,-51.101212121212114
418,-50.853333333333325
419,-50.03090909090909
420,-49.18030303030302
421,-48.14848484848484
422,-46.47606060606058
423,-44.07757575757574
424,-41.08545454545454
425,-38.40878787878788
426,-36.07818181818181
427,-34.61545454545453
428,-33.916969696969694
429,-33.028181818181814
430,-31.5190909090909
431,-28.71787878787878
432,-25.649393939393935
433,-23.699999999999992
434,-22.81151515151514
435,-21.559999999999995
436,-20.00151515151515
